model_id,split,judge_id,coverage,false_accept_rate,accepted_count,false_accept_count,mean_error_accepted,mean_error_rejected,threshold
damped_linear_user,id_test,support_only_local,0.05,0.0,5,0,0.012106462782107122,0.018235281523457797,0.15
damped_linear_user,id_test,support_only_local,0.1,0.0,10,0,0.017293216360259572,0.017999465500404783,0.15
damped_linear_user,ood_action_magnitude,support_only_local,0.05,1.0,5,5,0.3796832720093929,0.39067244098273396,0.15
damped_linear_user,ood_action_magnitude,support_only_local,0.1,1.0,10,10,0.3818705870453599,0.3910399153661456,0.15
damped_linear_user,ood_combined,support_only_local,0.05,1.0,5,5,0.33633753590014137,0.3546638632194966,0.15
damped_linear_user,ood_combined,support_only_local,0.1,1.0,10,10,0.33406163984944637,0.3559348698539823,0.15
damped_linear_user,ood_inflow_spike,support_only_local,0.05,0.0,5,0,0.04627569699107553,0.04444772579309647,0.15
damped_linear_user,ood_inflow_spike,support_only_local,0.1,0.0,10,0,0.04538526681716123,0.04444510852364367,0.15
linear_narx,id_test,support_only_local,0.05,0.0,5,0,0.005562717981687287,0.008292942305965709,0.15
linear_narx,id_test,support_only_local,0.1,0.0,10,0,0.011439688748534576,0.007791624683220365,0.15
linear_narx,ood_action_magnitude,support_only_local,0.05,1.0,5,5,0.39014743035722027,0.4022574060594486,0.15
linear_narx,ood_action_magnitude,support_only_local,0.1,1.0,10,10,0.3925161855634467,0.40266698746443624,0.15
linear_narx,ood_combined,support_only_local,0.05,1.0,5,5,0.3485795057413813,0.36823316512402904,0.15
linear_narx,ood_combined,support_only_local,0.1,1.0,10,10,0.3470477939422228,0.36949522528963824,0.15
linear_narx,ood_inflow_spike,support_only_local,0.05,0.0,5,0,0.03579820391430329,0.035213712346708524,0.15
linear_narx,ood_inflow_spike,support_only_local,0.1,0.0,10,0,0.03490545964514495,0.03528043440063752,0.15
mlp_state_space,id_test,support_only_local,0.05,0.0,5,0,0.0013034691329927778,0.0015533921029379251,0.15
mlp_state_space,id_test,support_only_local,0.1,0.0,10,0,0.0020861072535004093,0.0014803169212118078,0.15
mlp_state_space,ood_action_magnitude,support_only_local,0.05,1.0,5,5,0.39748083965943437,0.40866942001631335,0.15
mlp_state_space,ood_action_magnitude,support_only_local,0.1,1.0,10,10,0.4004634193280303,0.4089596100729627,0.15
mlp_state_space,ood_combined,support_only_local,0.05,1.0,5,5,0.47566679400314776,0.49499160640842216,0.15
mlp_state_space,ood_combined,support_only_local,0.1,1.0,10,10,0.4742548932950645,0.4962220849540578,0.15
mlp_state_space,ood_inflow_spike,support_only_local,0.05,1.0,5,5,0.21613958105659536,0.21867149879089914,0.15
mlp_state_space,ood_inflow_spike,support_only_local,0.1,1.0,10,10,0.21683387019509254,0.2187350176496386,0.15
