selection_mode,seed,system_id,badness_target,coverage,selected_judge_id,selection_metric,selection_far,selection_accepted_error,coverage_achieved,tie_breaker_used,source_split,uses_test_labels
per_system_calibration_selected_baseline,0,cstr,ALL,0.05,invariant_only,false_accept_rate,0.0,0.0072472197139653105,0.05,False,calibration,False
per_system_calibration_selected_baseline,0,cstr,ALL,0.1,invariant_only,false_accept_rate,0.0,0.011888868695308806,0.1,False,calibration,False
per_system_calibration_selected_baseline,0,heat_exchanger,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.004663222016955646,0.05,True,calibration,False
per_system_calibration_selected_baseline,0,heat_exchanger,ALL,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.007717642234451846,0.1,True,calibration,False
per_system_calibration_selected_baseline,0,two_tank,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.05,False,calibration,False
per_system_calibration_selected_baseline,0,two_tank,ALL,0.1,learned_error_classifier,false_accept_rate,0.0,0.04039060569884417,0.1,False,calibration,False
per_system_calibration_selected_baseline,1,cstr,ALL,0.05,invariant_only,false_accept_rate,0.0,0.005617882930865476,0.05,False,calibration,False
per_system_calibration_selected_baseline,1,cstr,ALL,0.1,invariant_only,false_accept_rate,0.0,0.008680934735105285,0.1,False,calibration,False
per_system_calibration_selected_baseline,1,heat_exchanger,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.004282935196483899,0.05,True,calibration,False
per_system_calibration_selected_baseline,1,heat_exchanger,ALL,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.007000740117524469,0.1,True,calibration,False
per_system_calibration_selected_baseline,1,two_tank,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.05,False,calibration,False
per_system_calibration_selected_baseline,1,two_tank,ALL,0.1,learned_error_classifier,false_accept_rate,0.0,0.02642446287100651,0.1,False,calibration,False
per_system_calibration_selected_baseline,2,cstr,ALL,0.05,invariant_only,false_accept_rate,0.0,0.007269502344137482,0.05,False,calibration,False
per_system_calibration_selected_baseline,2,cstr,ALL,0.1,invariant_only,false_accept_rate,0.005494505494505495,0.012930887085261213,0.1,False,calibration,False
per_system_calibration_selected_baseline,2,heat_exchanger,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.004501620275671698,0.05,True,calibration,False
per_system_calibration_selected_baseline,2,heat_exchanger,ALL,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.006658627836490702,0.1,True,calibration,False
per_system_calibration_selected_baseline,2,two_tank,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.05,False,calibration,False
per_system_calibration_selected_baseline,2,two_tank,ALL,0.1,learned_error_classifier,false_accept_rate,0.0,0.04248877961099027,0.1,False,calibration,False
per_system_calibration_selected_baseline,3,cstr,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.008668501106528082,0.05,True,calibration,False
per_system_calibration_selected_baseline,3,cstr,ALL,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.010811308850289499,0.1,True,calibration,False
per_system_calibration_selected_baseline,3,heat_exchanger,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.004131115554781239,0.05,True,calibration,False
per_system_calibration_selected_baseline,3,heat_exchanger,ALL,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.006820170905325657,0.1,True,calibration,False
per_system_calibration_selected_baseline,3,two_tank,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.05,False,calibration,False
per_system_calibration_selected_baseline,3,two_tank,ALL,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.0017878365116995212,0.1,False,calibration,False
per_system_calibration_selected_baseline,4,cstr,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.006904273697948561,0.05,True,calibration,False
per_system_calibration_selected_baseline,4,cstr,ALL,0.1,conformal_risk_threshold,false_accept_rate,0.0,0.009038615018758618,0.1,True,calibration,False
per_system_calibration_selected_baseline,4,heat_exchanger,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.004364737180977231,0.05,True,calibration,False
per_system_calibration_selected_baseline,4,heat_exchanger,ALL,0.1,learned_error_classifier,false_accept_rate,0.013736263736263736,0.025560836079615727,0.1,False,calibration,False
per_system_calibration_selected_baseline,4,two_tank,ALL,0.05,conformal_risk_threshold,false_accept_rate,0.0,0.0,0.05,False,calibration,False
per_system_calibration_selected_baseline,4,two_tank,ALL,0.1,conformal_risk_threshold,false_accept_rate,0.007692307692307693,0.014295652292144441,0.1,False,calibration,False
per_system_calibration_selected_baseline,5,cstr,ALL,0.05,invariant_only,false_accept_rate,0.0,0.007359630445945474,0.05,False,calibration,False
