comparator_mode,system_id,badness_target,mean_far_margin,mean_relative_margin,bootstrap_ci_low,bootstrap_ci_high,seed_win_rate,positive_ci_excludes_zero,ci_excludes_zero,practical_threshold_pass,event_risk_worsening,seed_count
best_calibrated_family_vs_per_system_target_baseline,cstr,bad_event,0.0010714285714285717,0.08,-0.017499999999999995,0.019642857142857142,0.3,False,False,False,False,10
best_calibrated_family_vs_per_system_target_baseline,cstr,bad_rmse,-0.0016666666666666666,-0.005,-0.005,0.0,0.0,False,False,False,False,10
best_calibrated_family_vs_per_system_target_baseline,cstr,bad_rmse_or_event,0.0,0.0,0.0,0.0,0.0,False,False,False,False,10
best_calibrated_family_vs_per_system_target_baseline,heat_exchanger,bad_event,-0.0067857142857142855,0.02976190476190476,-0.02857142857142857,0.010714285714285716,0.2,False,False,False,True,10
best_calibrated_family_vs_per_system_target_baseline,heat_exchanger,bad_rmse,0.0,0.0,0.0,0.0,0.0,False,False,False,False,10
best_calibrated_family_vs_per_system_target_baseline,heat_exchanger,bad_rmse_or_event,0.0,0.0,0.0,0.0,0.0,False,False,False,False,10
best_calibrated_family_vs_per_system_target_baseline,two_tank,bad_event,0.0,0.0,0.0,0.0,0.0,False,False,False,False,10
best_calibrated_family_vs_per_system_target_baseline,two_tank,bad_rmse,0.005222222222222223,0.021805555555555557,-0.011555555555555555,0.023563888888888884,0.4,False,False,False,False,10
best_calibrated_family_vs_per_system_target_baseline,two_tank,bad_rmse_or_event,-0.004555555555555554,0.028194444444444446,-0.02544722222222222,0.017341666666666658,0.3,False,False,False,False,10
global_calibration_selected_baseline,cstr,bad_event,-0.02535714285714285,0.06999999999999999,-0.06857142857142856,0.02537499999999998,0.1,False,False,False,True,10
global_calibration_selected_baseline,cstr,bad_rmse,0.013988095238095239,0.04788888888888889,0.003511904761904762,0.026550595238095238,0.8,True,True,False,False,10
global_calibration_selected_baseline,cstr,bad_rmse_or_event,0.026011904761904757,0.1091190476190476,0.0023184523809523837,0.061072916666666664,0.6,True,True,False,False,10
global_calibration_selected_baseline,heat_exchanger,bad_event,0.022142857142857138,0.11166666666666666,-0.0125,0.056428571428571425,0.6,False,False,False,False,10
global_calibration_selected_baseline,heat_exchanger,bad_rmse,0.02458333333333333,0.07747619047619048,0.013745535714285717,0.03404761904761904,0.8,True,True,False,False,10
global_calibration_selected_baseline,heat_exchanger,bad_rmse_or_event,0.03619047619047618,0.1358095238095238,0.024226190476190478,0.0488095238095238,0.9,True,True,False,False,10
global_calibration_selected_baseline,two_tank,bad_event,0.0,0.0,0.0,0.0,0.0,False,False,False,False,10
global_calibration_selected_baseline,two_tank,bad_rmse,-0.01277777777777778,0.02247222222222222,-0.024669444444444445,-0.0022222222222222227,0.2,False,True,False,False,10
global_calibration_selected_baseline,two_tank,bad_rmse_or_event,-0.01277777777777778,0.02247222222222222,-0.02411111111111111,-0.0022222222222222227,0.2,False,True,False,False,10
per_system_calibration_selected_baseline,cstr,bad_event,-0.04392857142857142,0.01,-0.07500892857142855,-0.017482142857142873,0.0,False,True,False,True,10
per_system_calibration_selected_baseline,cstr,bad_rmse,0.000238095238095238,0.003333333333333333,0.0,0.000714285714285714,0.1,False,False,False,False,10
per_system_calibration_selected_baseline,cstr,bad_rmse_or_event,0.000238095238095238,0.003333333333333333,0.0,0.000714285714285714,0.1,False,False,False,False,10
per_system_calibration_selected_baseline,heat_exchanger,bad_event,-0.011785714285714287,0.02976190476190476,-0.038214285714285715,0.010714285714285714,0.2,False,False,False,True,10
per_system_calibration_selected_baseline,heat_exchanger,bad_rmse,0.0019047619047619043,0.009166666666666667,0.0,0.0057142857142857125,0.1,False,False,False,False,10
per_system_calibration_selected_baseline,heat_exchanger,bad_rmse_or_event,0.0010119047619047616,0.0075,0.0,0.003035714285714285,0.1,False,False,False,False,10
per_system_calibration_selected_baseline,two_tank,bad_event,0.0,0.0,0.0,0.0,0.0,False,False,False,False,10
