comparator_mode,system_id,seed,badness_target,mean_absolute_margin,mean_relative_margin,deployable,diagnostic
best_calibrated_family_vs_per_system_target_baseline,cstr,0,bad_event,0.03928571428571429,0.10000000000000002,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,0,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,0,bad_rmse_or_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,1,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,1,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,1,bad_rmse_or_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,2,bad_event,0.03928571428571428,0.2,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,2,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,2,bad_rmse_or_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,3,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,3,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,3,bad_rmse_or_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,4,bad_event,-0.01428571428571428,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,4,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,4,bad_rmse_or_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,5,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,5,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,5,bad_rmse_or_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,6,bad_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,6,bad_rmse,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,6,bad_rmse_or_event,0.0,0.0,True,False
best_calibrated_family_vs_per_system_target_baseline,cstr,7,bad_event,-0.05357142857142857,0.1,True,False
